WO,District,LeadTech,Service,Rush,ReqDate,WorkDate,Techs,WtyLbr,WtyParts,LbrHrs,PartsCost,Payment,Wait,LbrRate,LbrCost,LbrFee,PartsFee,TotalCost,TotalFee,ReqDay,WorkDay
A00303,South,Michner,Assess,,44168,44202,2,,,0.5,45.2374,Account,34,140,70,70,45.2374,115.2374,115.2374,Thu,Wed
A00304,Northwest,Burton,Deliver,Yes,44168,44221,1,,,0.25,36.9721,C.O.D.,53,80,20,20,36.9721,56.9721,56.9721,Thu,Mon
A00305,South,Lopez,Assess,,44170,44188,1,,,0.5,138.5667,Account,18,80,40,40,138.5667,178.5667,178.5667,Sat,Wed
A00306,South,Lopez,Deliver,,44170,44202,1,,,0.25,126.5641,Account,32,80,20,20,126.5641,146.5641,146.5641,Sat,Wed
A00307,West,Burton,Install,,44172,44201,2,,,1,51.45,P.O.,29,140,140,140,51.45,191.45,191.45,Mon,Tue
A00308,South,Lopez,Deliver,,44172,44203,1,,,0.25,227.9372,Account,31,80,20,20,227.9372,247.9372,247.9372,Mon,Thu
A00309,Northwest,Michner,Replace,,44172,44207,1,,,0.5,367.7111,P.O.,35,80,40,40,367.7111,407.7111,407.7111,Mon,Mon
A00310,North,Khan,Replace,,44172,44208,2,,,1.25,637.53,Account,36,140,175,175,637.53,812.53,812.53,Mon,Tue
A00311,Central,Khan,Replace,,44173,44180,2,,,3,21.33,Account,7,140,420,420,21.33,441.33,441.33,Tue,Tue
A00312,West,Cartier,Replace,,44173,44181,2,,,1.5,318.7252,Account,8,140,210,210,318.7252,528.7252,528.7252,Tue,Wed
A00313,Northwest,Cartier,Replace,Yes,44173,44239,2,,,0.75,35.45,Account,66,140,105,105,35.45,140.45,140.45,Tue,Fri
A00314,South,Lopez,Install,,44174,44182,1,,,1.75,131.3,P.O.,8,80,140,140,131.3,271.3,271.3,Wed,Thu
A00315,Northwest,Cartier,Deliver,,44174,44207,1,,,0.25,37.2628,C.O.D.,33,80,20,20,37.2628,57.2628,57.2628,Wed,Mon
A00316,Northeast,Michner,Install,,44174,44208,2,,,3,1193.7466,C.O.D.,34,140,420,420,1193.7466,1613.7466,1613.7466,Wed,Tue
A00317,Southeast,Michner,Replace,Yes,44175,44179,1,,,0.5,250.4224,C.O.D.,4,80,40,40,250.4224,290.4224,290.4224,Thu,Mon
A00318,South,Lopez,Deliver,,44175,44203,1,,,0.25,67.704,P.O.,28,80,20,20,67.704,87.704,87.704,Thu,Thu
A00319,Central,Burton,Install,,44175,44203,2,,,1.25,58.239,Account,28,140,175,175,58.239,233.239,233.239,Thu,Thu
A00320,West,Lopez,Assess,,44175,44210,1,,,0.5,32.227,P.O.,35,80,40,40,32.227,72.227,72.227,Thu,Thu
A00321,Central,Khan,Replace,,44175,44219,1,,,2.25,180,Account,44,80,180,180,180,360,360,Thu,Sat
A00322,West,Khan,Assess,Yes,44177,44224,1,,,1,337.9237,Account,47,80,80,80,337.9237,417.9237,417.9237,Sat,Thu
A00323,Northwest,Michner,Assess,Yes,44179,44180,1,,,0.75,63.99,Account,1,80,60,60,63.99,123.99,123.99,Mon,Tue
A00324,West,Khan,Assess,,44179,44181,1,,,0.5,145.89,P.O.,2,80,40,40,145.89,185.89,185.89,Mon,Wed
A00325,West,Khan,Deliver,,44179,44200,1,,,0.25,30,P.O.,21,80,20,20,30,50,50,Mon,Mon
A00326,West,Khan,Replace,,44179,44200,1,,,0.5,57.0982,Account,21,80,40,40,57.0982,97.0982,97.0982,Mon,Mon
A00327,North,Khan,Install,,44179,44209,2,,,3.5,262.44,Account,30,140,490,490,262.44,752.44,752.44,Mon,Wed
A00328,West,Khan,Assess,,44179,44215,1,,,0.5,21.33,P.O.,36,80,40,40,21.33,61.33,61.33,Mon,Tue
A00329,South,Lopez,Repair,,44179,44320,1,,,4,1769.625,P.O.,141,80,320,320,1769.625,2089.625,2089.625,Mon,Tue
A00330,South,Lopez,Replace,,44180,44209,1,,,0.75,82.875,P.O.,29,80,60,60,82.875,142.875,142.875,Tue,Wed
A00331,Central,Michner,Assess,,44180,44221,2,,,0.75,2294,Account,41,140,105,105,2294,2399,2399,Tue,Mon
A00332,Southeast,Khan,Assess,,44181,44188,1,,,1,348.7432,Account,7,80,80,80,348.7432,428.7432,428.7432,Wed,Wed
A00333,South,Lopez,Assess,,44181,44210,1,,,0.25,140.4,Account,29,80,20,20,140.4,160.4,160.4,Wed,Thu
A00334,East,Ling,Assess,,44181,44228,2,,,0.5,133.9978,Account,47,140,70,70,133.9978,203.9978,203.9978,Wed,Mon
A00335,Northwest,Burton,Repair,,44186,44222,2,,,1,305.6304,Account,36,140,140,140,305.6304,445.6304,445.6304,Mon,Tue
A00336,Northwest,Michner,Assess,Yes,44200,44207,1,,,0.25,19.197,Account,7,80,20,20,19.197,39.197,39.197,Mon,Mon
A00337,South,Lopez,Assess,,44200,44209,1,,,0.5,18.525,P.O.,9,80,40,40,18.525,58.525,58.525,Mon,Wed
A00338,West,Lopez,Deliver,,44200,44209,1,,,0.25,39,Account,9,80,20,20,39,59,59,Mon,Wed
A00339,South,Lopez,Assess,,44200,44210,2,,,0.25,36.504,P.O.,10,140,35,35,36.504,71.504,71.504,Mon,Thu
A00340,Central,Cartier,Assess,,44200,44210,2,,,0.5,29.8074,C.O.D.,10,140,70,70,29.8074,99.8074,99.8074,Mon,Thu
A00341,Central,Michner,Assess,,44200,44210,1,,,0.25,43.02,Account,10,80,20,20,43.02,63.02,63.02,Mon,Thu
A00342,Northwest,Burton,Deliver,,44200,44217,1,,,0.25,66.8649,Account,17,80,20,20,66.8649,86.8649,86.8649,Mon,Thu
A00343,Northwest,Burton,Replace,,44200,44238,1,,,0.75,408.5679,Account,38,80,60,60,408.5679,468.5679,468.5679,Mon,Thu
A00344,South,Lopez,Assess,,44201,44210,1,,,0.25,25.2486,P.O.,9,80,20,20,25.2486,45.2486,45.2486,Tue,Thu
A00345,Central,Cartier,Replace,,44201,44221,1,,,1.25,646,Account,20,80,100,100,646,746,746,Tue,Mon
A00346,Central,Michner,Deliver,,44201,44226,1,,,0.25,125.4194,C.O.D.,25,80,20,20,125.4194,145.4194,145.4194,Tue,Sat
A00347,Northwest,Khan,Assess,,44201,44229,2,,,0.75,286.7323,Account,28,140,105,105,286.7323,391.7323,391.7323,Tue,Tue
A00348,South,Michner,Install,,44201,44229,1,,,2.5,258.0278,C.O.D.,28,80,200,200,258.0278,458.0278,458.0278,Tue,Tue
A00349,South,Lopez,Assess,,44201,44320,1,,,0.25,14.3,P.O.,119,80,20,20,14.3,34.3,34.3,Tue,Tue
A00350,South,Lopez,Assess,,44202,44214,1,,,0.25,44.85,P.O.,12,80,20,20,44.85,64.85,64.85,Wed,Mon
A00351,Northwest,Michner,Assess,,44202,44217,2,,,0.5,74.6077,C.O.D.,15,140,70,70,74.6077,144.6077,144.6077,Wed,Thu
A00352,North,Ling,Replace,Yes,44202,44230,2,,,0.5,126.7147,Account,28,140,70,70,126.7147,196.7147,196.7147,Wed,Wed
A00353,North,Ling,Replace,,44202,44259,2,,,1.25,256.84,Account,57,140,175,175,256.84,431.84,431.84,Wed,Thu
A00354,Southeast,Cartier,Deliver,,44203,44215,1,,,0.25,32.6706,P.O.,12,80,20,20,32.6706,52.6706,52.6706,Thu,Tue
A00355,Northwest,Cartier,Assess,Yes,44203,44228,2,,,0.5,72.3501,Account,25,140,70,70,72.3501,142.3501,142.3501,Thu,Mon
A00356,North,Ling,Replace,,44203,44232,2,,,0.5,178.4989,C.O.D.,29,140,70,70,178.4989,248.4989,248.4989,Thu,Fri
A00357,Northwest,Burton,Replace,,44203,44249,1,,,0.5,18.2549,C.O.D.,46,80,40,40,18.2549,58.2549,58.2549,Thu,Mon
A00358,North,Ling,Assess,,44203,44249,2,,,1.75,151.8099,C.O.D.,46,140,245,245,151.8099,396.8099,396.8099,Thu,Mon
A00359,Southeast,Burton,Deliver,,44204,44212,1,,,0.25,85.0859,C.O.D.,8,80,20,20,85.0859,105.0859,105.0859,Fri,Sat
A00360,South,Lopez,Assess,,44204,44228,1,,,0.25,67.0677,Account,24,80,20,20,67.0677,87.0677,87.0677,Fri,Mon
A00361,South,Lopez,Deliver,,44207,44217,1,,,0.25,162.2096,Account,10,80,20,20,162.2096,182.2096,182.2096,Mon,Thu
A00362,Southeast,Burton,Install,,44207,44224,1,,,1.25,53.6887,Account,17,80,100,100,53.6887,153.6887,153.6887,Mon,Thu
A00363,Southeast,Michner,Assess,,44207,44228,2,,,1,211.8477,C.O.D.,21,140,140,140,211.8477,351.8477,351.8477,Mon,Mon
A00364,South,Lopez,Assess,,44207,44228,1,,,0.25,150.319,P.O.,21,80,20,20,150.319,170.319,170.319,Mon,Mon
A00365,East,Ling,Assess,,44207,44250,2,,,0.25,46.8649,Account,43,140,35,35,46.8649,81.8649,81.8649,Mon,Tue
A00366,South,Lopez,Assess,,44208,44217,1,,,0.25,19.5,P.O.,9,80,20,20,19.5,39.5,39.5,Tue,Thu
A00367,Central,Cartier,Replace,,44208,44215,1,,,1.25,256.7181,C.O.D.,7,80,100,100,256.7181,356.7181,356.7181,Tue,Tue
A00368,Northwest,Khan,Replace,,44209,44226,1,,,1,86.2935,C.O.D.,17,80,80,80,86.2935,166.2935,166.2935,Wed,Sat
A00369,South,Lopez,Assess,,44210,44215,1,,,0.25,108.3061,P.O.,5,80,20,20,108.3061,128.3061,128.3061,Thu,Tue
A00370,Southeast,Cartier,Assess,,44210,44221,1,,,0.25,70.8215,C.O.D.,11,80,20,20,70.8215,90.8215,90.8215,Thu,Mon
A00371,South,Lopez,Assess,Yes,44210,44228,1,,,0.5,56.9196,Account,18,80,40,40,56.9196,96.9196,96.9196,Thu,Mon
A00372,Northwest,Burton,Assess,,44210,44232,2,,,0.5,74.5324,C.O.D.,22,140,70,70,74.5324,144.5324,144.5324,Thu,Fri
A00373,North,Ling,Assess,,44210,44242,2,,,0.5,137.22,Account,32,140,70,70,137.22,207.22,207.22,Thu,Mon
A00374,Northwest,Cartier,Assess,Yes,44211,44228,2,,,0.5,83.4629,Account,17,140,70,70,83.4629,153.4629,153.4629,Fri,Mon
A00375,West,Khan,Assess,,44212,44230,1,,,1,9.92,P.O.,18,80,80,80,9.92,89.92,89.92,Sat,Wed
A00376,Southeast,Cartier,Assess,,44214,44221,1,,,0.25,72.3501,C.O.D.,7,80,20,20,72.3501,92.3501,92.3501,Mon,Mon
A00377,Northwest,Cartier,Deliver,Yes,44214,44223,1,,,0.25,19.9801,Account,9,80,20,20,19.9801,39.9801,39.9801,Mon,Wed
A00378,East,Ling,Repair,,44214,44229,2,,,1.25,85.32,Account,15,140,175,175,85.32,260.32,260.32,Mon,Tue
A00379,West,Khan,Assess,,44214,44256,1,,,0.5,180,P.O.,42,80,40,40,180,220,220,Mon,Mon
A00380,East,Ling,Assess,,44215,44231,2,,,0.25,52.3501,Account,16,140,35,35,52.3501,87.3501,87.3501,Tue,Thu
A00381,East,Ling,Assess,,44215,44236,2,,,0.5,45.2935,Account,21,140,70,70,45.2935,115.2935,115.2935,Tue,Tue
A00382,South,Lopez,Deliver,,44216,44224,1,,,0.25,11.7,Account,8,80,20,20,11.7,31.7,31.7,Wed,Thu
A00383,Central,Khan,Deliver,,44216,44329,1,,,0.25,37.707,P.O.,113,80,20,20,37.707,57.707,57.707,Wed,Thu
A00384,Central,Michner,Install,,44217,44229,1,,,1,155.0355,C.O.D.,12,80,80,80,155.0355,235.0355,235.0355,Thu,Tue
A00385,South,Lopez,Assess,,44217,44239,1,,,1.25,93.6,P.O.,22,80,100,100,93.6,193.6,193.6,Thu,Fri
A00386,North,Ling,Deliver,,44217,44237,1,,,0.25,21.33,Account,20,80,20,20,21.33,41.33,41.33,Thu,Wed
A00387,Central,Burton,Repair,,44217,44278,1,,,2.5,357.1108,Account,61,80,200,200,357.1108,557.1108,557.1108,Thu,Tue
A00388,Northwest,Burton,Deliver,,44218,44226,1,,,0.25,120,C.O.D.,8,80,20,20,120,140,140,Fri,Sat
A00389,Southeast,Burton,Replace,,44221,44236,1,,,0.5,52.3501,C.O.D.,15,80,40,40,52.3501,92.3501,92.3501,Mon,Tue
A00390,Northwest,Cartier,Replace,,44221,44242,1,,,3.25,511.875,Account,21,80,260,260,511.875,771.875,771.875,Mon,Mon
A00391,North,Ling,Replace,,44221,44275,2,,,2,368.874,Account,54,140,280,280,368.874,648.874,648.874,Mon,Sat
A00392,North,Ling,Deliver,,44223,44231,1,,,0.25,120,Account,8,80,20,20,120,140,140,Wed,Thu
A00393,North,Ling,Replace,Yes,44223,44249,2,,,0.5,5.472,C.O.D.,26,140,70,70,5.472,75.472,75.472,Wed,Mon
A00394,Southeast,Khan,Assess,,44224,44235,1,,,1,60,C.O.D.,11,80,80,80,60,140,140,Thu,Mon
A00395,Northwest,Burton,Replace,,44224,44237,1,,,0.75,114.8945,P.O.,13,80,60,60,114.8945,174.8945,174.8945,Thu,Wed
A00396,North,Ling,Assess,,44224,44245,2,,,0.25,23.899,C.O.D.,21,140,35,35,23.899,58.899,58.899,Thu,Thu
A00397,South,Lopez,Assess,,44224,44245,1,,,0.25,57.2,P.O.,21,80,20,20,57.2,77.2,77.2,Thu,Thu
A00398,Northwest,Burton,Replace,,44224,44258,2,,,8.5,653.985,Account,34,140,1190,1190,653.985,1843.985,1843.985,Thu,Wed
A00399,South,Lopez,Assess,,44224,44271,1,,,0.5,9.75,Account,47,80,40,40,9.75,49.75,49.75,Thu,Tue
A00400,North,Ling,Replace,,44226,44229,2,,,0.5,134,Account,3,140,70,70,134,204,204,Sat,Tue
A00401,North,Ling,Assess,,44228,44237,2,,,0.25,144,Account,9,140,35,35,144,179,179,Mon,Wed
A00402,Northwest,Burton,Assess,,44228,44237,1,,,0.5,205.1859,C.O.D.,9,80,40,40,205.1859,245.1859,245.1859,Mon,Wed
A00403,West,Lopez,Replace,,44228,44252,1,,,0.5,42.9,Account,24,80,40,40,42.9,82.9,82.9,Mon,Thu
A00404,East,Ling,Replace,,44228,44258,2,,,1.5,319.8215,Account,30,140,210,210,319.8215,529.8215,529.8215,Mon,Wed
A00405,Northeast,Ling,Assess,,44228,44266,1,,,0.25,21.33,Account,38,80,20,20,21.33,41.33,41.33,Mon,Thu
A00406,North,Ling,Assess,,44229,44229,2,,,0.5,21.33,Account,0,140,70,70,21.33,91.33,91.33,Tue,Tue
A00407,East,Ling,Replace,,44229,44236,2,,,0.5,1231.2,C.O.D.,7,140,70,70,1231.2,1301.2,1301.2,Tue,Tue
A00408,North,Ling,Replace,,44229,44244,2,,,0.5,56.4969,C.O.D.,15,140,70,70,56.4969,126.4969,126.4969,Tue,Wed
A00409,North,Ling,Replace,,44229,44245,2,,,0.5,269.954,Account,16,140,70,70,269.954,339.954,339.954,Tue,Thu
A00410,East,Ling,Replace,,44229,44258,2,,,0.5,83.2317,Account,29,140,70,70,83.2317,153.2317,153.2317,Tue,Wed
A00411,Southeast,Burton,Deliver,,44229,44273,1,,,0.25,88.6248,Account,44,80,20,20,88.6248,108.6248,108.6248,Tue,Thu
A00412,West,Khan,Deliver,,44229,44341,1,,,0.25,40,P.O.,112,80,20,20,40,60,60,Tue,Tue
A00413,South,Lopez,Assess,,44231,44242,1,,,1.5,33.475,P.O.,11,80,120,120,33.475,153.475,153.475,Thu,Mon
A00414,West,Burton,Assess,,44231,44247,2,,,0.25,33.8611,Account,16,140,35,35,33.8611,68.8611,68.8611,Thu,Sat
A00415,South,Lopez,Deliver,,44231,44250,1,,,0.25,33.9579,Account,19,80,20,20,33.9579,53.9579,53.9579,Thu,Tue
A00416,West,Khan,Assess,,44231,44260,1,,,0.5,36.8901,C.O.D.,29,80,40,40,36.8901,76.8901,76.8901,Thu,Fri
A00417,Southeast,Khan,Assess,,44231,44264,1,,,0.5,25.3395,C.O.D.,33,80,40,40,25.3395,65.3395,65.3395,Thu,Tue
A00418,Northeast,Ling,Deliver,,44231,44270,1,,,0.25,30,Account,39,80,20,20,30,50,50,Thu,Mon
A00419,Southeast,Burton,Assess,Yes,44232,44268,1,,,0.5,31.8076,Account,36,80,40,40,31.8076,71.8076,71.8076,Fri,Sat
A00420,Northwest,Khan,Replace,Yes,44232,44377,1,,,0.5,61.17,P.O.,145,80,40,40,61.17,101.17,101.17,Fri,Wed
A00421,West,Khan,Assess,,44233,44278,1,,,0.5,15.543,P.O.,45,80,40,40,15.543,55.543,55.543,Sat,Tue
A00422,West,Khan,Deliver,,44233,44286,1,,,0.25,72.3501,Account,53,80,20,20,72.3501,92.3501,92.3501,Sat,Wed
A00423,North,Ling,Deliver,Yes,44235,44246,1,,,0.25,96.7147,Account,11,80,20,20,96.7147,116.7147,116.7147,Mon,Fri
A00424,Northwest,Cartier,Replace,,44235,44243,1,,,0.5,207.8986,C.O.D.,8,80,40,40,207.8986,247.8986,247.8986,Mon,Tue
A00425,South,Lopez,Install,,44235,44245,3,,,3.5,821.873,Account,10,195,682.5,682.5,821.873,1504.373,1504.373,Mon,Thu
A00426,North,Ling,Repair,,44235,44249,2,,,1,118.5584,Account,14,140,140,140,118.5584,258.5584,258.5584,Mon,Mon
A00427,Northwest,Cartier,Assess,Yes,44236,44237,1,,,0.25,54.4637,P.O.,1,80,20,20,54.4637,74.4637,74.4637,Tue,Wed
A00428,North,Ling,Assess,,44236,44249,2,,,0.25,83.4413,Account,13,140,35,35,83.4413,118.4413,118.4413,Tue,Mon
A00429,North,Ling,Assess,,44236,44251,2,,,0.75,36,Account,15,140,105,105,36,141,141,Tue,Wed
A00430,South,Lopez,Replace,,44236,44299,1,,,0.5,53.43,Account,63,80,40,40,53.43,93.43,93.43,Tue,Tue
A00431,North,Ling,Assess,,44237,44244,1,,,0.5,76.788,Account,7,80,40,40,76.788,116.788,116.788,Wed,Wed
A00432,Southeast,Burton,Assess,,44237,44249,1,Yes,Yes,0.25,78,Warranty,12,80,20,0,0,98,0,Wed,Mon
A00433,Northwest,Burton,Replace,,44237,44252,2,,,2.75,666.4434,C.O.D.,15,140,385,385,666.4434,1051.4434,1051.4434,Wed,Thu
A00434,Northwest,Burton,Deliver,Yes,44238,44254,1,,,0.25,19.197,C.O.D.,16,80,20,20,19.197,39.197,39.197,Thu,Sat
A00435,South,Lopez,Assess,,44238,44266,1,,,0.75,414.5365,P.O.,28,80,60,60,414.5365,474.5365,474.5365,Thu,Thu
A00436,Southeast,Khan,Repair,,44240,44294,1,,,1,19.197,Account,54,80,80,80,19.197,99.197,99.197,Sat,Thu
A00437,North,Ling,Install,,44242,44245,2,,,1,157.86,Account,3,140,140,140,157.86,297.86,297.86,Mon,Thu
A00438,North,Ling,Assess,,44242,44251,2,,,0.25,160.3908,Account,9,140,35,35,160.3908,195.3908,195.3908,Mon,Wed
A00439,North,Ling,Assess,,44242,44252,2,,,0.25,46.8453,Account,10,140,35,35,46.8453,81.8453,81.8453,Mon,Thu
A00440,Southwest,Cartier,Replace,Yes,44242,44256,2,,,1.25,952.0638,C.O.D.,14,140,175,175,952.0638,1127.0638,1127.0638,Mon,Mon
A00441,West,Khan,Deliver,,44243,44258,1,,,0.25,17.42,Account,15,80,20,20,17.42,37.42,37.42,Tue,Wed
A00442,Northwest,Cartier,Replace,,44243,44263,2,,,0.5,202,C.O.D.,20,140,70,70,202,272,272,Tue,Mon
A00443,Southeast,Burton,Assess,,44244,44249,1,,,0.75,137.13,Account,5,80,60,60,137.13,197.13,197.13,Wed,Mon
A00444,West,Khan,Assess,,44244,44256,1,,,0.5,180,C.O.D.,12,80,40,40,180,220,220,Wed,Mon
A00445,Central,Khan,Assess,,44244,44256,1,,,0.25,255.3433,C.O.D.,12,80,20,20,255.3433,275.3433,275.3433,Wed,Mon
A00446,Northwest,Khan,Deliver,,44244,44257,1,,,0.25,48.373,P.O.,13,80,20,20,48.373,68.373,68.373,Wed,Tue
A00447,North,Ling,Deliver,,44244,44263,1,,,0.25,40.2,Account,19,80,20,20,40.2,60.2,60.2,Wed,Mon
A00448,Central,Cartier,Deliver,,44245,44261,1,,,0.25,61.4985,Account,16,80,20,20,61.4985,81.4985,81.4985,Thu,Sat
A00449,Northwest,Khan,Replace,,44245,44257,1,,,0.5,42.66,Account,12,80,40,40,42.66,82.66,82.66,Thu,Tue
A00450,North,Ling,Replace,,44245,44265,1,,,0.5,16.42,Credit,20,80,40,40,16.42,56.42,56.42,Thu,Wed
A00451,Southeast,Burton,Assess,,44246,44264,2,,,0.5,31.8076,Account,18,140,70,70,31.8076,101.8076,101.8076,Fri,Tue
A00452,North,Ling,Assess,,44249,44284,2,,,0.5,239.9694,Account,35,140,70,70,239.9694,309.9694,309.9694,Mon,Mon
A00453,Central,Burton,Repair,,44250,44257,1,,,1,90,C.O.D.,7,80,80,80,90,170,170,Tue,Tue
A00454,South,Lopez,Deliver,,44250,44271,1,,,0.25,16.25,Account,21,80,20,20,16.25,36.25,36.25,Tue,Tue
A00455,Central,Cartier,Assess,,44250,44287,2,,,0.25,269.4027,C.O.D.,37,140,35,35,269.4027,304.4027,304.4027,Tue,Thu
A00456,South,Lopez,Deliver,,44251,44270,1,,,0.25,33.4971,Account,19,80,20,20,33.4971,53.4971,53.4971,Wed,Mon
A00457,Central,Burton,Assess,,44252,44263,1,,,0.25,305.4626,Account,11,80,20,20,305.4626,325.4626,325.4626,Thu,Mon
A00458,South,Lopez,Replace,,44252,44270,1,,,0.75,50.6724,P.O.,18,80,60,60,50.6724,110.6724,110.6724,Thu,Mon
A00459,South,Lopez,Replace,,44252,44271,1,,,0.5,45.63,P.O.,19,80,40,40,45.63,85.63,85.63,Thu,Tue
A00460,West,Khan,Replace,,44252,44279,1,,,1,42.66,C.O.D.,27,80,80,80,42.66,122.66,122.66,Thu,Wed
A00461,Central,Burton,Assess,,44252,44293,1,,,0.25,38.6984,P.O.,41,80,20,20,38.6984,58.6984,58.6984,Thu,Wed
A00462,Central,Cartier,Assess,,44256,44270,1,,,0.25,164.2212,Account,14,80,20,20,164.2212,184.2212,184.2212,Mon,Mon
A00463,West,Khan,Replace,,44256,44270,2,,,0.5,24.38,Account,14,140,70,70,24.38,94.38,94.38,Mon,Mon
A00464,South,Lopez,Assess,,44256,44279,1,,,0.25,267.9404,P.O.,23,80,20,20,267.9404,287.9404,287.9404,Mon,Wed
A00465,East,Ling,Assess,,44256,44299,2,,,0.5,175.8682,Account,43,140,70,70,175.8682,245.8682,245.8682,Mon,Tue
A00466,Central,Cartier,Deliver,,44256,44306,1,Yes,Yes,0.25,81.12,Warranty,50,80,20,0,0,101.12,0,Mon,Tue
A00467,North,Ling,Assess,,44256,44315,2,Yes,Yes,1,9.98,Warranty,59,140,140,0,0,149.98,0,Mon,Thu
A00468,Northwest,Khan,Assess,,44257,44264,1,,,1.25,340.7006,Account,7,80,100,100,340.7006,440.7006,440.7006,Tue,Tue
A00469,Northwest,Khan,Replace,Yes,44257,44265,1,,,0.75,22.84,P.O.,8,80,60,60,22.84,82.84,82.84,Tue,Wed
A00470,South,Lopez,Replace,,44257,44266,1,,,0.5,3.575,Account,9,80,40,40,3.575,43.575,43.575,Tue,Thu
A00471,South,Lopez,Assess,,44257,44266,1,,,0.25,16.25,Account,9,80,20,20,16.25,36.25,36.25,Tue,Thu
A00472,Central,Burton,Replace,,44257,44275,1,,,0.75,19.197,P.O.,18,80,60,60,19.197,79.197,79.197,Tue,Sat
A00473,Southeast,Cartier,Deliver,,44257,44271,1,,,0.25,73.5089,P.O.,14,80,20,20,73.5089,93.5089,93.5089,Tue,Tue
A00474,Central,Burton,Assess,,44257,44278,1,,,0.25,144,P.O.,21,80,20,20,144,164,164,Tue,Tue
A00475,Southeast,Burton,Install,,44257,44278,1,,Yes,2,94.71,C.O.D.,21,80,160,160,0,254.71,160,Tue,Tue
A00476,Central,Burton,Assess,Yes,44258,44264,2,,,0.25,41.1538,C.O.D.,6,140,35,35,41.1538,76.1538,76.1538,Wed,Tue
A00477,East,Ling,Replace,,44258,44292,2,,,0.5,76.9499,C.O.D.,34,140,70,70,76.9499,146.9499,146.9499,Wed,Tue
A00478,West,Khan,Assess,,44258,44312,1,,,0.5,25.24,P.O.,54,80,40,40,25.24,65.24,65.24,Wed,Mon
A00479,Northwest,Burton,Assess,Yes,44258,44329,2,,,0.75,572.6269,C.O.D.,71,140,105,105,572.6269,677.6269,677.6269,Wed,Thu
A00480,South,Burton,Replace,,44258,44389,2,,,1.25,361.9037,Account,131,140,175,175,361.9037,536.9037,536.9037,Wed,Mon
A00481,Northwest,Cartier,Assess,,44259,44263,1,,,0.25,110.2272,Account,4,80,20,20,110.2272,130.2272,130.2272,Thu,Mon
A00482,South,Lopez,Assess,,44259,44270,1,,,0.25,33.9105,Account,11,80,20,20,33.9105,53.9105,53.9105,Thu,Mon
A00483,North,Ling,Assess,,44259,44279,2,,,0.25,19,Account,20,140,35,35,19,54,54,Thu,Wed
A00484,West,Khan,Install,,44259,44279,1,,,1.25,294.78,P.O.,20,80,100,100,294.78,394.78,394.78,Thu,Wed
A00485,East,Ling,Assess,,44259,44312,2,,,0.25,83.2317,Account,53,140,35,35,83.2317,118.2317,118.2317,Thu,Mon
A00486,South,Lopez,Assess,,44263,44271,1,,,0.75,103.0842,Account,8,80,60,60,103.0842,163.0842,163.0842,Mon,Tue
A00487,Central,Cartier,Replace,,44263,44271,2,,,0.5,144.3053,C.O.D.,8,140,70,70,144.3053,214.3053,214.3053,Mon,Tue
A00488,North,Ling,Assess,,44263,44280,2,,,0.25,39,Account,17,140,35,35,39,74,74,Mon,Thu
A00489,Central,Burton,Install,,44263,44282,2,,,2.5,224,C.O.D.,19,140,350,350,224,574,574,Mon,Sat
A00490,South,Lopez,Assess,,44263,44359,1,,,0.5,475.54,Account,96,80,40,40,475.54,515.54,515.54,Mon,Sat
A00491,Central,Khan,Assess,,44264,44271,1,,,1,46.0368,C.O.D.,7,80,80,80,46.0368,126.0368,126.0368,Tue,Tue
A00492,South,Lopez,Assess,,44264,44271,1,,,0.75,294.5514,Account,7,80,60,60,294.5514,354.5514,354.5514,Tue,Tue
A00493,West,Khan,Replace,,44264,44341,2,,,1,28.5,P.O.,77,140,140,140,28.5,168.5,168.5,Tue,Tue
A00494,East,Ling,Install,,44265,44267,2,,,1.5,50,Account,2,140,210,210,50,260,260,Wed,Fri
A00495,Southeast,Khan,Assess,,44265,44265,1,,,0.5,10,Account,0,80,40,40,10,50,50,Wed,Wed
A00496,North,Ling,Install,Yes,44265,44272,2,,,1.5,29.33,Account,7,140,210,210,29.33,239.33,239.33,Wed,Wed
A00497,South,Burton,Assess,Yes,44265,44272,1,,Yes,0.25,19.197,C.O.D.,7,80,20,20,0,39.197,20,Wed,Wed
A00498,West,Khan,Replace,,44265,44272,2,,,0.5,24.1865,C.O.D.,7,140,70,70,24.1865,94.1865,94.1865,Wed,Wed
A00499,East,Ling,Assess,,44265,44273,2,,,0.5,159,Account,8,140,70,70,159,229,229,Wed,Thu
A00500,Southeast,Burton,Assess,,44265,44279,2,,Yes,0.5,411.0953,C.O.D.,14,140,70,70,0,481.0953,70,Wed,Wed
A00501,North,Ling,Assess,,44265,44294,1,,,0.75,58.3617,Account,29,80,60,60,58.3617,118.3617,118.3617,Wed,Thu
A00502,Southeast,Burton,Repair,,44265,44306,1,,Yes,1.75,98.5476,C.O.D.,41,80,140,140,0,238.5476,140,Wed,Tue
A00503,East,Ling,Repair,,44265,44307,2,Yes,Yes,2,145.1492,Warranty,42,140,280,0,0,425.1492,0,Wed,Wed
A00504,Southeast,Burton,Replace,,44266,44266,2,,,0.75,125.7273,Account,0,140,105,105,125.7273,230.7273,230.7273,Thu,Thu
A00505,Northwest,Khan,Assess,Yes,44266,44348,1,,,0.25,204.284,C.O.D.,82,80,20,20,204.284,224.284,224.284,Thu,Tue
